episode,steps,epReturn,lapProgress,dist,done_off,done_finish,replaySize
56,484,11813.973344830569,3070.7808608107925,3079.539038645583,1,0,6967
57,856,29308.50193287646,7530.378235970366,7541.700939298411,0,1,7824
58,842,28457.922748419754,7357.013965553406,7349.819433547551,1,0,8667
59,779,25518.696821758094,6599.553231977175,6592.2657765195945,1,0,9447
60,707,21819.722456031483,5631.7506464285925,5625.983362365523,1,0,10155
61,735,22958.811061891938,5932.2564481512145,5926.4657696643635,1,0,10891
62,851,29061.347356458085,7507.631608377874,7505.101405266598,1,0,11743
63,856,29306.28338482859,7530.378235970366,7539.554388995842,0,1,12600
64,867,29241.130713991162,7530.378235970366,7531.816770614186,0,1,13468
65,860,29334.073684887855,7530.378235970366,7535.822446981054,0,1,14329
66,873,29303.721508291143,7532.801188976031,7542.772449311563,0,1,15203
67,871,29341.996088839645,7532.403529902496,7541.08756630459,0,1,16075
68,869,29343.83552596627,7530.384724594946,7540.9077642217935,0,1,16945
69,869,29378.239285802247,7530.8870139043975,7543.163151807917,0,1,17815
70,847,29428.121707499187,7530.378235970366,7540.636617244153,0,1,18663
71,852,29411.574150051463,7530.378235970366,7540.491654589771,0,1,19516
72,849,29385.92660582804,7530.378235970366,7533.714756003261,0,1,20366
73,846,29387.685733549533,7530.378235970366,7539.738051257891,0,1,21213
74,841,29402.33222508472,7534.214068194851,7546.621752876591,0,1,22055
75,841,29399.253640970084,7530.378235970366,7540.4682579095615,0,1,22897
76,847,29403.17561570276,7530.378235970366,7540.725949726147,0,1,23745
77,845,29369.793492560028,7530.378235970366,7534.87416491747,0,1,24591
78,847,29383.782346452906,7534.097120776313,7544.303265237828,0,1,25439
79,844,29347.250624406188,7530.378235970366,7531.890719069403,0,1,26284
80,848,29336.786636047585,7532.289164941332,7538.044942858216,0,1,27133
81,848,29356.71476240648,7530.378235970366,7535.2484223072715,0,1,27982
82,848,29361.052260204364,7532.80756716791,7539.841097280987,0,1,28831
83,846,29363.959350876692,7530.378235970366,7536.786022145487,0,1,29678
84,848,29365.613143982322,7530.378235970366,7537.691858418667,0,1,30527
85,847,29357.080405553184,7530.378235970366,7533.456003172505,0,1,31375
86,847,29351.226311781284,7530.378235970366,7531.065330019479,0,1,32223
87,847,29366.438514882677,7532.747887421747,7539.046632066423,0,1,33071
88,846,29387.41343767855,7531.525701311282,7539.79501862066,0,1,33918
89,850,29389.502434115122,7534.4694529320695,7543.672323759472,0,1,34769
90,850,29388.757790283642,7530.378235970366,7528.621780986637,0,1,35620
91,854,29386.439725806693,7530.378235970366,7535.547534592266,0,1,36475
92,855,29381.498604245335,7532.484201719012,7543.493746016964,0,1,37331
93,856,29405.757931028907,7534.633176683647,7545.271669452611,0,1,38188
94,855,29370.278593289328,7532.921257183263,7543.939157950029,0,1,39044
95,853,29348.67738983041,7530.378235970366,7532.221858562857,0,1,39898
96,855,29360.203196150993,7530.378235970366,7537.267518893283,0,1,40754
97,853,29350.382347816398,7533.841807626509,7548.116678387893,0,1,41608
98,856,29367.80013199314,7530.378235970366,7537.199012712322,0,1,42465
99,856,29397.53145936877,7533.761739079291,7547.351903754037,0,1,43322
