episode,steps,epReturn,lapProgress,dist,done_off,done_finish,replaySize
0,44,-76.60616205994286,0.206585457464453,6.312589423849328,1,0,45
1,103,-92.33482479738414,3.5707548658058834,10.06520525485623,1,0,149
2,38,-80.12677083313766,0.008346999999999827,6.653359646681636,1,0,188
3,39,-143.04422125313963,0.008346999999999827,7.948728371384167,1,0,228
4,55,-115.29080405734317,0.253811411873969,8.744249764566776,1,0,284
5,83,-137.99843886275764,0.4652050879454994,11.179650228087523,1,0,368
6,51,-83.19636329494867,1.0416386911268787,6.934617593244375,1,0,420
8,107,-46.915830066258955,18.104688708039834,24.157594567700873,1,0,560
9,31,-120.96367329165624,0.008346999999999827,7.199214427790431,1,0,592
12,43,-68.98880136526064,0.15798231574293148,6.332303231495885,1,0,733
13,50,-68.19476838181541,0.5239688692666544,6.442206800267906,1,0,784
14,33,-122.12303929541814,0.010579350327836926,7.284146169695281,1,0,818
15,186,-92.56506624382692,22.234937935272164,31.005789231353706,1,0,1005
16,51,-61.37509135170578,2.0202672215780755,7.444785882551467,1,0,1057
17,101,-68.28296009837892,6.638769526321334,10.56047211268371,1,0,1159
18,69,-42.20334350492743,7.034221132959599,11.792826481562765,1,0,1229
19,35,-30.597024381980592,5.382159799206643,8.6950108866238,1,0,1265
22,111,-1.3098635831730796,19.036500946793524,21.47975471425238,1,0,1458
24,38,-38.792917812705575,3.7118546445394944,7.320874421150291,1,0,1580
26,59,-133.9907848013354,0.008346999999999827,11.942154524175518,1,0,1674
27,62,-92.09717637654028,0.5461720240496141,9.540078950151713,1,0,1737
28,86,-88.3344196539588,4.060948478365214,8.951406004729812,1,0,1824
29,30,-41.64563552232181,2.4804474194198343,6.873629305843984,1,0,1855
30,54,-60.21101142816999,1.8364808628039284,7.490955757816208,1,0,1910
31,45,-47.96275197525736,2.5322703575075414,6.910128408374338,1,0,1956
32,30,-23.66951970187934,6.3172557625519605,9.002123199724082,1,0,1987
33,64,-49.075019703512126,3.6772626290387067,8.175071324299942,1,0,2052
34,66,45.64952448019701,26.700197540128986,27.87742451848665,1,0,2119
35,56,16.247855582769695,19.271293312822475,20.57479670605237,1,0,2176
36,113,381.8166914698665,131.9465523198816,133.45717806205818,1,0,2290
37,64,172.77398046565003,57.72391989180642,58.343860876277695,1,0,2355
38,75,278.55528634989315,83.38805127224772,83.8939277506849,1,0,2431
39,235,2982.495559389102,825.2801091978388,827.2531288519775,1,0,2667
40,128,968.7505246776985,268.4102095930266,268.81627465162745,1,0,2796
41,103,640.8149216025349,177.56487554057117,177.73583138903595,1,0,2900
42,173,1849.9850496882991,498.7818165746302,498.76307884512124,1,0,3074
43,127,1028.0448400952728,284.54074333783484,284.43442389909865,1,0,3202
44,82,384.9608114042771,112.52405592120525,112.97294054813304,1,0,3285
45,131,1195.7279681063246,321.8513050410382,321.4588585571157,1,0,3417
46,118,957.2227206062569,256.87495833620517,256.88217937476355,1,0,3536
47,236,3476.3787111932247,907.8141139575944,906.8254305732709,1,0,3773
48,671,19895.243079184373,5176.186286695084,5173.630932268169,1,0,4445
49,190,2340.0449400084904,619.764725642586,621.6340066186697,1,0,4636
50,281,4773.455820314366,1246.7550382376407,1250.4096289144477,1,0,4918
51,214,2953.188352414593,777.0680379746434,779.166675587616,1,0,5133
52,259,4104.422818322419,1071.5199216635729,1073.7428991561935,1,0,5393
53,385,8194.093524614982,2116.31459174597,2120.4949134706317,1,0,5779
54,274,4541.1154301579945,1182.934125558704,1185.7879469371317,1,0,6054
55,427,9487.017520454618,2468.398860564365,2476.4380576703948,1,0,6482
