episode,step,t,x,y,s,lapProgress,offset
25,0,0.0,1199.999967221492,0.008346935639467135,0.008346999999999827,0.008346999999999827,6.880347907798993e-19
25,1,0.05,1200.045189770882,0.006927093114851506,0.00674958034351253,0.008346999999999827,0.045216625001959214
25,2,0.1,1200.1215839777558,-0.02672161778980974,0.0,0.008346999999999827,0.1214781049901492
25,3,0.15000000000000002,1200.245052458108,-0.07234153066528534,0.0,0.008346999999999827,0.24476648480544375
25,4,0.2,1200.350691116742,-0.11071176506427516,0.0,0.008346999999999827,0.3502536497291993
25,5,0.25,1200.4283895351837,-0.18353128800167123,0.0,0.008346999999999827,0.42766550820518434
25,6,0.3,1200.492368053006,-0.2319535647166223,0.0,0.008346999999999827,0.4914533793662836
25,7,0.35,1200.5209503431881,-0.30074147491384806,0.0,0.008346999999999827,0.5197653203639298
25,8,0.39999999999999997,1200.5508925467361,-0.36508535002370257,0.0,0.008346999999999827,0.5494546158817585
25,9,0.44999999999999996,1200.5648316741886,-0.40017789299475737,0.0,0.008346999999999827,0.5632558281150989
25,10,0.49999999999999994,1200.5428569485755,-0.4238808128137862,0.0,0.008346999999999827,0.5411881910315351
25,11,0.5499999999999999,1200.5070536318099,-0.46260038120782465,0.0,0.008346999999999827,0.5052330993329125
25,12,0.6,1200.5126677645696,-0.5237233769610236,0.0,0.008346999999999827,0.5106071599781469
25,13,0.65,1200.4952868079192,-0.6200967780275115,0.0,0.008346999999999827,0.4928478808573848
25,14,0.7000000000000001,1200.4326028098715,-0.7175560329534123,0.0,0.008346999999999827,0.4297816455265718
25,15,0.7500000000000001,1200.3367664125822,-0.8055522277670776,0.0,0.008346999999999827,0.3336004278343675
25,16,0.8000000000000002,1200.2060928563078,-0.9231527815112125,0.0,0.008346999999999827,0.20246606402629055
25,17,0.8500000000000002,1200.0967090642368,-1.0785609084368963,0.0,0.008346999999999827,0.0924728306532678
25,18,0.9000000000000002,1199.954960754376,-1.2529657541987516,0.0,0.008346999999999827,-0.049959270707791006
25,19,0.9500000000000003,1199.7966710781975,-1.445071761269314,0.0,0.008346999999999827,-0.20900212296175658
25,20,1.0000000000000002,1199.6821495559125,-1.6365862004954732,0.0,0.008346999999999827,-0.3242748357261866
25,21,1.0500000000000003,1199.6022943525938,-1.858074464270981,0.0,0.008346999999999827,-0.40499920345420054
25,22,1.1000000000000003,1199.4793061100427,-2.058924788794157,0.0,0.008346999999999827,-0.5287752330427236
25,23,1.1500000000000004,1199.309544406285,-2.272570943229595,0.0,0.008346999999999827,-0.6993746121627255
25,24,1.2000000000000004,1199.1623755750686,-2.523791777637488,0.0,0.008346999999999827,-0.8475288479906499
25,25,1.2500000000000004,1199.0303297730864,-2.8075057669855994,0.0,0.008346999999999827,-0.9806877711853431
25,26,1.3000000000000005,1198.8698702092863,-3.0564353394744623,0.0,0.008346999999999827,-1.142123639375637
25,27,1.3500000000000005,1198.7432224313518,-3.2742830270193384,0.0,0.008346999999999827,-1.2696259244471695
25,28,1.4000000000000006,1198.5761463572405,-3.499936220656812,0.0,0.008346999999999827,-1.4375868460402397
25,29,1.4500000000000006,1198.4034492243886,-3.7540603857528416,0.0,0.008346999999999827,-1.6112805879882197
25,30,1.5000000000000007,1198.2712884779007,-4.032762618303647,0.0,0.008346999999999827,-1.7445347737299242
25,31,1.5500000000000007,1198.096503820302,-4.289574228117522,0.0,0.008346999999999827,-1.9203265778723126
25,32,1.6000000000000008,1197.900146238754,-4.550044961836106,0.0,0.008346999999999827,-2.117705508932333
25,33,1.6500000000000008,1197.6984516119455,-4.788405743946003,7530.378235970366,0.008346999999999827,-2.3189989829488353
