episode,step,t,x,y,s,lapProgress,offset
87,0,0.0,3.4442472818675243,-0.48855973694944094,0.008346999999999993,0.008346999999999993,0.0
87,1,0.05,3.464315053754128,-0.4564242618562769,0.046145706137414484,0.046145706137414484,-0.0025810932361130744
87,2,0.1,3.50055259879641,-0.4080899858149628,0.10654700133673173,0.10654700133673173,-0.0015586210485594157
87,3,0.15000000000000002,3.566754593237442,-0.34501494998756366,0.19645655005849594,0.19645655005849594,0.015097826989566314
87,4,0.2,3.653811002795442,-0.2656253261057295,0.31180878086188074,0.31180878086188074,0.039085191870102266
87,5,0.25,3.7522029908452024,-0.16374394477904364,0.4520278333979946,0.4520278333979946,0.05907059852827028
87,6,0.3,3.859058862517609,-0.03004416879850974,0.6229861362941604,0.6229861362941604,0.0672599867213896
87,7,0.35,3.9733335706716146,0.12673987989765323,0.8169951619011762,0.8169951619011762,0.067926944186496
87,8,0.39999999999999997,4.09341524169275,0.3002318456099889,1.027944218177101,1.027944218177101,0.0635036492319334
87,9,0.44999999999999996,4.233332485931907,0.4979340430068824,1.2701352782778328,1.2701352782778328,0.0609571814186518
87,10,0.49999999999999994,4.386662531108141,0.7171492493173968,1.5376179690124494,1.5376179690124494,0.0566653765679175
87,11,0.5499999999999999,4.577244398657361,0.9513079280562337,1.839045233653747,1.839045233653747,0.07379252455382797
87,12,0.6,4.7935083662675115,1.2004615709329285,2.167676241733645,2.167676241733645,0.10293531051539823
87,13,0.65,5.026517406257407,1.4689895490830693,2.5218197346098723,2.5218197346098723,0.13428613538239462
87,14,0.7000000000000001,5.264443357637045,1.7645109961570036,2.900714248314832,2.900714248314832,0.1537959151059077
87,15,0.7500000000000001,5.515769374013139,2.07051024451338,3.295952830970812,3.295952830970812,0.17801923614650805
87,16,0.8000000000000002,5.788521621580274,2.3922592442825694,3.7165117144068156,3.7165117144068156,0.21036785232183608
87,17,0.8500000000000002,6.080218236296877,2.7392333462334846,4.1686123379523545,4.1686123379523545,0.24327634137110507
87,18,0.9000000000000002,6.407605574614602,3.0967340225220212,4.650164049952243,4.650164049952243,0.29892839890272205
87,19,0.9500000000000003,6.748982219290703,3.4777491277851897,5.158950082060684,5.158950082060684,0.35213639672252317
87,20,1.0000000000000002,7.096527086571305,3.883881080564355,5.691715011668612,5.691715011668612,0.3956349900465531
87,21,1.0500000000000003,7.447902845366661,4.307490484109802,6.240885306186408,6.240885306186408,0.4319920837199749
87,22,1.1000000000000003,7.816014748818182,4.749193363428576,6.814525032387991,6.814525032387991,0.471302026286354
87,23,1.1500000000000004,8.204805350480392,5.2132147807742975,7.418368313193386,7.418368313193386,0.5142822533980331
87,24,1.2000000000000004,8.606775210998698,5.699752030186055,8.048178864476728,8.048178864476728,0.5547412860413983
87,25,1.2500000000000004,9.024983953601561,6.2107752631823345,8.70734637800972,8.70734637800972,0.594003050573461
87,26,1.3000000000000005,9.465815473307464,6.739119440489226,9.393808149161147,9.393808149161147,0.6414396947207606
87,27,1.3500000000000005,9.929537537347953,7.286284684280515,10.108905423331256,10.108905423331256,0.6963936178792103
87,28,1.4000000000000006,10.408668154526106,7.862375757896464,10.856498779742909,10.856498779742909,0.7469034868817606
87,29,1.4500000000000006,10.90403137046923,8.469095026982522,11.638421869871257,11.638421869871257,0.7926120015586613
87,30,1.5000000000000007,11.408661223340319,9.111874185526005,12.454992282533063,12.454992282533063,0.8246915313540967
87,31,1.5500000000000007,11.918476219819865,9.792629855324224,13.305370459639711,13.305370459639711,0.8387118201753628
87,32,1.6000000000000008,12.452032306257905,10.502244795213725,14.193046353269345,14.193046353269345,0.8550509804441278
87,33,1.6500000000000008,13.009285371085292,11.238965907253506,15.116537287584611,15.116537287584611,0.8747056817458593
87,34,1.7000000000000008,13.581380114008853,12.001251060133876,16.069475462538946,16.069475462538946,0.8914354126860006
87,35,1.7500000000000009,14.185376923271638,12.786583189292186,17.05978535711791,17.05978535711791,0.9205044922542471
87,36,1.800000000000001,14.804377244047421,13.603284642116757,18.08430526586247,18.08430526586247,0.9433434228845066
87,37,1.850000000000001,15.431289320449249,14.459950072623906,19.14584211241378,19.14584211241378,0.9491687793837792
87,38,1.900000000000001,16.09876322158677,15.335090519948944,20.246084233045835,20.246084233045835,0.9770390275625322
87,39,1.950000000000001,16.789857227537222,16.23750397790991,21.382304476838613,21.382304476838613,1.0080959392763984
87,40,2.000000000000001,17.51186378393918,17.168694006432005,22.55995838400636,22.55995838400636,1.0473338245268042
87,41,2.0500000000000007,18.252633167752997,18.133790351176003,23.77608143710468,23.77608143710468,1.0819019363780196
87,42,2.1000000000000005,19.020321903137123,19.1298510123225,25.033029918603837,25.033029918603837,1.1201344849097723
87,43,2.1500000000000004,19.80749739956282,20.16561470827905,26.33360794189268,26.33360794189268,1.150932234384289
87,44,2.2,20.62677274742741,21.23769505742011,27.682424633319915,27.682424633319915,1.1864555163322346
87,45,2.25,21.474139967202447,22.346463023546523,29.077431641921994,29.077431641921994,1.2232393960684915
87,46,2.3,22.34879570420736,23.4923252862662,30.518446080575007,30.518446080575007,1.260411671836226
87,47,2.3499999999999996,23.239526046794506,24.679444070752346,32.00235071125363,32.00235071125363,1.2864615995873134
87,48,2.3999999999999995,24.159243437739462,25.907986977068546,33.53680814038628,33.53680814038628,1.311723231483561
87,49,2.4499999999999993,25.09980195190491,27.183415596547224,35.121429910593086,35.121429910593086,1.3263989949637607
87,50,2.499999999999999,26.05959828962279,28.50809965680928,36.757276719965226,36.757276719965226,1.3278431819292673
87,51,2.549999999999999,27.048597797780175,29.872698161609918,38.44257970683502,38.44257970683502,1.3295604144296589
87,52,2.5999999999999988,28.07658837289146,31.276076684969944,40.1821185588315,40.1821185588315,1.3401516237372944
87,53,2.6499999999999986,29.14109343574369,32.72395028093744,41.97914632413147,41.97914632413147,1.3543004568645265
87,54,2.6999999999999984,30.235515746758082,34.22377867119613,43.8358052186559,43.8358052186559,1.362246805420818
87,55,2.7499999999999982,31.36882012935539,35.77106802629651,45.75367345745206,45.75367345745206,1.373906806745037
87,56,2.799999999999998,32.52934333937847,37.373644636385585,47.73232554780186,47.73232554780186,1.3752549763323603
87,57,2.849999999999998,33.729725379588444,39.02006776600714,49.769863987359884,49.769863987359884,1.3832093169669917
87,58,2.8999999999999977,34.971715473529585,40.70697179347924,51.864556329767524,51.864556329767524,1.401199561675557
87,59,2.9499999999999975,36.248680176857995,42.43722513295492,54.0148998261771,54.0148998261771,1.422135649237206
87,60,2.9999999999999973,37.573901157811434,44.19944780489068,56.21939796343416,56.21939796343416,1.4634663371704768
87,61,3.049999999999997,38.924024094368356,46.00887521914345,58.476766422657796,58.476766422657796,1.4973359484592794
87,62,3.099999999999997,40.30599283391254,47.85896404490872,60.78572018678455,60.78572018678455,1.533199556422288
87,63,3.149999999999997,41.72610337152787,49.74373806389956,63.145153850823114,63.145153850823114,1.5796734922418068
87,64,3.1999999999999966,43.196759157491705,51.65289318378515,65.55393887928047,65.55393887928047,1.6528294337643477
