idx,x,y,wl,wr
0,1200.0,0.0,6.0,6.0
1,1199.9629891737477,9.424681066453601,6.0,6.0
2,1199.8519589779928,18.84878077418481,6.0,6.0
3,1199.6669162616006,28.27171780033218,6.0,6.0
4,1199.407872438878,37.69291089375395,6.0,6.0
5,1199.0748434888674,47.11177891088233,6.0,6.0
6,1198.667849954364,56.52774085157119,6.0,6.0
7,1198.1869169406455,65.9402158949349,6.0,6.0
8,1197.632074113926,75.34862343517605,6.0,6.0
9,1197.003355699524,84.75238311740002,6.0,6.0
10,1196.3008004797537,94.15091487341394,6.0,6.0
11,1195.5244517915296,103.54363895750805,6.0,6.0
12,1194.674357523696,112.92997598221717,6.0,6.0
13,1193.7505701140717,122.30934695406005,6.0,6.0
14,1192.7531465462157,131.68117330925432,6.0,6.0
15,1191.6821483459116,141.04487694940516,6.0,6.0
16,1190.5376415773735,150.3998802771651,6.0,6.0
17,1189.3196968391699,159.74560623186284,6.0,6.0
18,1188.028389259869,169.0814783250992,6.0,6.0
19,1186.6637984934055,178.40692067630758,6.0,6.0
20,1185.2260087141653,187.72135804827704,6.0,6.0
21,1183.7151086117944,197.02421588263553,6.0,6.0
22,1182.1311913857287,206.31492033529142,6.0,6.0
23,1180.4743547394432,215.592898311831,6.0,6.0
24,1178.7447008744264,224.85757750286953,6.0,6.0
25,1176.9423364838765,234.1083864193539,6.0,6.0
26,1175.067372746119,243.344754427815,6.0,6.0
27,1173.1199253177488,252.56611178556676,6.0,6.0
28,1171.1001143264969,261.77188967585107,6.0,6.0
29,1169.0080643638191,270.96152024292445,6.0,6.0
30,1166.843904477212,280.1344366270864,6.0,6.0
31,1164.607768162251,289.2900729996463,6.0,6.0
32,1162.2997933543572,298.42786459782576,6.0,6.0
33,1159.9201224202886,307.54724775959596,6.0,6.0
34,1157.4689021493577,316.6476599584475,6.0,6.0
35,1154.9462837443768,325.7285398380891,6.0,6.0
36,1152.3524228123317,334.7893272470751,6.0,6.0
37,1149.6874793547831,343.829463273358,6.0,6.0
38,1146.9516177579962,352.8483902787647,6.0,6.0
39,1144.1450067828014,361.8455519333948,6.0,6.0
40,1141.2678195541841,370.8203932499369,6.0,6.0
41,1138.3202335506055,379.7723606179033,6.0,6.0
42,1135.3024305930544,388.70090183777927,6.0,6.0
43,1132.2145968338323,397.60546615508514,6.0,6.0
44,1129.0569227450706,406.48550429434965,6.0,6.0
45,1125.829603106981,415.34046849299153,6.0,6.0
46,1122.5328369958409,424.1698125351085,6.0,6.0
47,1119.1668277717129,432.97299178517017,6.0,6.0
48,1115.7317830659017,441.7494632216135,6.0,6.0
49,1112.227914768145,450.49868547033964,6.0,6.0
50,1108.655439013544,459.22011883810774,6.0,6.0
51,1105.0145761692315,467.91322534582594,6.0,6.0
52,1101.3055508207774,476.5774687617367,6.0,6.0
53,1097.5285917583365,485.21231463449396,6.0,6.0
54,1093.6839319625344,493.8172303261305,6.0,6.0
55,1089.7718085900974,502.3916850449137,6.0,6.0
56,1085.7924629592235,510.9351498780872,6.0,6.0
57,1081.7461405346949,519.4470978244967,6.0,6.0
58,1077.6330909127387,527.9270038270981,6.0,6.0
59,1073.4535678056302,536.3743448053453,6.0,6.0
